record_id_1,record_id_2,similarity_score
10623,25362,0.85
5714,10553,0.85
5714,15503,0.85
10553,15503,0.85
80,30569,0.85
3877,6967,0.85
3877,25931,0.85
6967,25931,0.85
19445,30072,0.85
4688,16117,0.85
4688,18192,0.85
4688,30132,0.85
16117,18192,0.85
16117,30132,0.85
18192,30132,0.85
8944,11985,0.85
8944,26522,0.85
11985,26522,0.85
26491,29702,0.85
26491,30227,0.85
29702,30227,0.85
205,25089,0.85
205,27076,0.85
25089,27076,0.85
17134,24685,0.85
1208,10588,0.85
1208,26575,0.85
10588,26575,0.85
2717,3943,0.85
2717,21714,0.85
3943,21714,0.85
13542,32885,0.85
4249,26838,0.85
13803,18757,0.85
13803,20451,0.85
18757,20451,0.85
8823,9535,0.85
6497,18716,0.85
8843,32601,0.85
14620,18087,0.85
14620,28965,0.85
18087,28965,0.85
4408,10726,0.85
17983,21639,0.85
17983,24739,0.85
17983,28403,0.85
21639,24739,0.85
21639,28403,0.85
24739,28403,0.85
6225,11508,0.85
4113,24638,0.85
4113,24835,0.85
24638,24835,0.85
4665,21316,0.85
4665,25418,0.85
21316,25418,0.85
6044,15768,0.85
1081,3791,0.85
1081,29032,0.85
3791,29032,0.85
4429,25738,0.85
8888,12231,0.85
8888,13546,0.85
12231,13546,0.85
24868,29649,0.85
24868,29694,0.85
29649,29694,0.85
25677,27950,0.85
25677,28072,0.85
27950,28072,0.85
8638,15005,0.85
14286,20516,0.85
21042,25491,0.85
21042,29402,0.85
25491,29402,0.85
2306,20281,0.85
2306,21169,0.85
20281,21169,0.85
2020,28043,0.85
2020,31629,0.85
28043,31629,0.85
452,7111,0.85
452,27502,0.85
7111,27502,0.85
2628,13370,0.85
2628,21030,0.85
2628,25164,0.85
13370,21030,0.85
13370,25164,0.85
21030,25164,0.85
6379,17070,0.85
6379,25859,0.85
7893,28956,0.85
7893,30030,0.85
17070,25859,0.85
28956,30030,0.85
16,28103,0.85
16,31837,0.85
28103,31837,0.85
4987,12593,0.85
4987,23553,0.85
12593,23553,0.85
12749,23935,0.85
12749,26608,0.85
23935,26608,0.85
15355,26411,0.85
3461,26638,0.85
3461,29968,0.85
26638,29968,0.85
23895,26290,0.85
2865,25699,0.85
2865,26274,0.85
2865,29392,0.85
3168,20099,0.85
3168,29880,0.85
20099,29880,0.85
25699,26274,0.85
25699,29392,0.85
26274,29392,0.85
25979,33148,0.85
3357,19381,0.85
3357,28774,0.85
19381,28774,0.85
1501,7773,0.85
5332,14734,0.85
1610,15738,0.85
1610,26975,0.85
1810,5956,0.85
1810,15712,0.85
1824,28849,0.85
1824,32632,0.85
5956,15712,0.85
6611,18606,0.85
6650,12470,0.85
6650,13012,0.85
7678,22174,0.85
7822,25747,0.85
10640,14758,0.85
10640,16587,0.85
10640,26058,0.85
12470,13012,0.85
14758,16587,0.85
14758,26058,0.85
15738,26975,0.85
16022,30050,0.85
16022,30064,0.85
16133,19947,0.85
16133,29752,0.85
16133,31147,0.85
16587,26058,0.85
19947,29752,0.85
19947,31147,0.85
21337,27480,0.85
21404,25390,0.85
21404,32120,0.85
25390,32120,0.85
28849,32632,0.85
29752,31147,0.85
30050,30064,0.85
17026,26983,0.85
